City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
171,paris,48.8534,2.3488,10.1,86,100,4.12,FR,1675537794
172,mahebourg,-20.4081,57.7,26.25,83,40,2.57,MU,1675538294
173,hingoli,19.7167,77.15,20.0,18,0,2.18,IN,1675538295
174,umm kaddadah,13.6017,26.6876,19.31,16,34,5.64,SD,1675538295
175,avera,33.194,-82.5271,10.21,32,8,3.35,US,1675538295
176,narsaq,60.9167,-46.05,-0.88,90,100,8.56,GL,1675538296
177,pacific grove,36.6177,-121.9166,17.16,81,100,9.83,US,1675538296
178,georgetown,5.4112,100.3354,24.97,94,20,0.0,MY,1675538016
179,alta floresta,-9.8756,-56.0861,28.9,74,40,2.06,BR,1675538296
180,saint-louis,16.3333,-15.0,26.06,9,99,4.97,SN,1675538297
181,flinders,-34.5833,150.8552,16.88,69,0,3.27,AU,1675538297
182,kavieng,-2.5744,150.7967,27.32,74,94,1.71,PG,1675538298
183,svetlaya,46.5389,138.3297,-13.2,69,9,3.28,RU,1675538298
184,srandakan,-7.9386,110.2506,24.41,91,100,1.89,ID,1675538299
185,inongo,-1.95,18.2667,24.7,79,100,1.47,CD,1675538299
186,nemuro,43.3236,145.575,-5.3,76,29,5.15,JP,1675538299
187,hay river,60.8156,-115.7999,-20.02,77,75,1.54,CA,1675538300
188,ojinaga,29.5667,-104.4167,18.65,41,0,0.0,MX,1675538300
189,kirakira,-10.4544,161.9205,26.31,86,80,2.33,SB,1675538301
190,muyezerskiy,63.9333,31.65,-20.79,99,94,1.46,RU,1675538302
191,san ramon de la nueva oran,-23.1322,-64.326,29.12,46,100,1.97,AR,1675538302
192,katsuura,35.1333,140.3,6.84,72,3,5.08,JP,1675538302
193,saint george,37.1041,-113.5841,12.46,40,0,0.89,US,1675538174
194,gonzalez,30.5816,-87.2914,17.81,39,0,3.09,US,1675538303
195,puerto carreno,6.189,-67.4859,36.03,32,27,4.65,CO,1675538303
196,hambantota,6.1241,81.1185,24.41,86,9,5.43,LK,1675538303
197,moose factory,51.2585,-80.6094,-13.0,78,100,5.14,CA,1675538304
198,mahdasht,35.7299,50.8111,4.12,38,0,0.0,IR,1675538305
199,hamilton,39.1834,-84.5333,7.43,39,0,8.23,US,1675538305
200,bengkulu,-3.8004,102.2655,23.5,90,100,2.26,ID,1675538306
201,poum,-20.2333,164.0167,27.25,79,85,2.42,NC,1675538151
202,goderich,43.7501,-81.7165,-5.05,68,55,10.29,CA,1675538034
203,rumphi,-11.0186,33.8575,18.19,96,30,1.51,MW,1675538306
204,rawson,-43.3002,-65.1023,32.07,28,18,3.74,AR,1675538307
205,sur,22.5667,59.5289,21.42,70,0,1.43,OM,1675538307
206,beringovskiy,63.05,179.3167,-30.14,93,41,6.06,RU,1675538307
207,ostringen,49.22,8.7122,5.82,80,79,2.18,DE,1675538308
208,maniitsoq,65.4167,-52.9,-17.41,82,6,6.08,GL,1675538309
209,bandarbeyla,9.4942,50.8122,24.35,65,99,6.87,SO,1675538309
210,marsh harbour,26.5412,-77.0636,21.51,75,99,12.92,BS,1675538310
211,caravelas,-17.7125,-39.2481,29.33,66,10,5.25,BR,1675538310
212,ayan,56.45,138.1667,-23.32,88,80,2.44,RU,1675538310
213,bitam,2.076,11.5007,24.0,79,9,2.63,GA,1675538312
214,ballina,-28.8667,153.5667,22.79,98,100,3.14,AU,1675538312
215,tungor,53.3808,142.9564,-28.2,98,56,4.17,RU,1675538313
216,tuatapere,-46.1333,167.6833,18.42,96,100,2.84,NZ,1675538313
217,gumrak,48.7826,44.3824,-3.05,86,100,4.02,RU,1675538313
218,vila velha,-20.3297,-40.2925,31.97,71,0,6.17,BR,1675538314
219,hofn,64.2539,-15.2082,0.63,58,7,6.15,IS,1675538314
220,tanete,-3.9443,119.7848,24.16,90,99,0.56,ID,1675538314
221,otane,-39.8833,176.6333,21.12,90,0,0.37,NZ,1675538315
222,lar,26.2039,83.9717,12.36,61,0,2.77,IN,1675538315
223,arman,59.7,150.1667,-26.01,86,80,3.64,RU,1675538316
224,winslow,35.0242,-110.6974,10.1,37,0,1.54,US,1675538125
225,timra,62.487,17.3257,-17.18,85,95,1.54,SE,1675538316
226,aldeia de paio pires,38.6167,-9.0833,14.88,58,0,4.63,PT,1675538316
227,mattru,7.6244,-11.8332,27.94,65,10,3.71,SL,1675538317
228,winnemucca,40.973,-117.7357,4.23,57,100,1.73,US,1675538317
229,camacari,-12.6975,-38.3242,29.87,54,1,5.21,BR,1675538046
230,sitka,57.0531,-135.33,0.94,86,100,2.06,US,1675538317
231,laguna,38.421,-121.4238,17.2,72,100,6.17,US,1675538285
232,bonfim,3.0833,-59.95,30.97,49,100,1.62,BR,1675538318
